question_num,question,options,correct,type
29,What is defined by a Free Software license?,A. Details of the technical documentation each contributor has to provide. B. The programming languages which may be used to extend the licensed program. C. A complete list of libraries required to compile the licensed software. D. Limits on the purposes for which the licensed software may be used. E. Conditions for modifying and distributing the licensed software.,E,
30,Why are web browser cookies considered dangerous?,A. Cookies support identification and tracking of users. B. Cookies are always public and accessible to anyone on the internet. C. Cookies consume significant amounts of storage and can exhaust disk space. D. Cookies store critical data which is lost when a cookie is deleted. E. Cookies can contain and execute viruses and malware.,A,
31,Which of the following are typical services offered by public cloud providers? (Choose three.),"A. Platform as a Service (PaaS) B. Infrastructure as a Service (IaaS) C. Internet as a Service (IaaS) D. Graphics as a Service (GaaS) E. Software as a Service (SaaS)",A B E,Triple
32,Which of the following characters in a shell prompt indicates the shell is running with root privileges?,A. ! B. # C. * D. & E. $,B,
33,Which of the following commands are used to get information on the proper use of ls? (Choose two.),"A. option ls B. usage ls C. manual ls D. man ls E. info ls",D E,Dual
34,What is true about a recursive directory listing?,"A. It includes the content of sub-directories. B. It includes the permissions of the directory listed. C. It includes details of file system internals, such as inodes. D. It includes ownership information for the files. E. It includes a preview of content for each file in the directory.",A,
35,Running the command rm Downloads leads to the following error: rm: cannot remove 'Downloads/': Is a directory Which of the following commands can be used instead to remove Downloads assuming Downloads is empty? (Choose two.),"A. undir Downloads B. rmdir Downloads C. dir -r Downloads D. rem Downloads E. rm -r Downloads",B E,Dual
36,Which of the following directories contains information documentation and example configuration files for installed software packages ?,A. /usr/share/doc/ B. /etc/defaults/ C. /var/info/ D. /doc/ E. /usr/examples/,A,
37,Which of the following commands adds the directory /new/dir/ to the PATH environment variable?,A. $PATH=/new/dir: $PATH B. PATH=/new/dir: PATH C. export PATH=/new/dir: PATH D. export $PATH=/new/dir: $PATH E. export PATH=/new/dir:$PATH,E,
38,A user is currently in the directory /home/user/Downloads/ and runs the command ls ../Documents/ Assuming it exists which directory's content is displayed?,A. /home/user/Documents/ B. /home/user/Documents/Downloads/ C. /home/user/Downloads/Documents/ D. /Documents/ E. /home/Documents/,A,
39,A directory contains the following three files: texts1.txt texts2.txt texts3.csv Which command copies the two files ending in .txt to the /tmp/ directory ?,A. cp ??.txt /tmp/ B. cp *.txt /tmp/ C. cp .\.txt /tmp/ D. cp ?.txt /tmp/ E. cp $?.txt /tmp/,B,
40,When typing a long command line at the shell what single character can be used to split a command across multiple lines?,"Fill the blank.",\,Blank
41,Which of the following DNS record types hold an IP address? (Choose two.),A. NS B. AAAA C. MX D. A E. CNAME,B D,Dual
42,Which of the following values could be a process ID on Linux?,A. /bin/bash B. 60b503cd-019e-4300-a7be-922f074ef5ce C. /sys/pid/9a14 D. fff3 E. 21398,E,
43,Which of the following is a protocol used for automatic IP address configuration?,A. NFS B. LDAP C. SMTP D. DNS E. DHCP,E,
44,Which of the following devices represents a hard disk partition?,A. /dev/ttyS0 B. /dev/sata0 C. /dev/part0 D. /dev/sda2 E. /dev/sda/p2,D,
45,Which of the following statements regarding Linux hardware drivers is correct?,A. Drivers are regular Linux programs which have to be run by the user who wants to use a device. B. Drivers are not used by Linux because the BIOS handles all access to hardware on behalf of Linux. C. Drivers are stored on their devices and are copied by the Linux kernel when a new device is attached D. Drivers are downloaded from the vendor's driver repository when a new device is attached. E. Drivers are either compiled into the Linux kernel or are loaded as kernel modules.,E,
46,What can be found in the /proc/ directory ?,A. One directory per installed program. B. One device file per hardware device. C. One file per existing user account. D. One directory per running process. E. One log file per running service.,D,
47,A new server needs to be installed to host services for a period of several years. Throughout this time the server should receive important security updates from its Linux distribution. Which of the following Linux distributions meet these requirements? (Choose two.),"A. Ubuntu Linux LTS B. Fedora Linux C. Debian GNU/Linux Unstable D. Ubuntu Linux non-LTS E. Red Hat Enterprise Linux",A E,Dual
48,Which of the following directories must be mounted with read and write access if it resides on its own dedicated file system?,A. /opt B. /lib C. /etc D. /var E. /usr,D,
49,The ownership of the file doku.odt should be changed. The new owner is named tux. Which command accomplishes this change?,A. chmod u=tux doku.odt B. newuser doku.odt tux C. chown tux doku.odt D. transfer tux: doku.odt E. passwd doku.odt:tux,C,
50,What happens to a file residing outside the home directory when the file owner's account is deleted? (Choose two.),"A. During a file system check, the file is moved to /lost+found. B. The file is removed from the file system. C. The UID of the former owner is shown when listing the file's details. D. The user root is set as the new owner of the file. E. Ownership and permissions of the file remain unchanged.",C E,Dual
51,Which statements about the directory /etc/skel are correct? (Choose two.),"A. The personal user settings of root are stored in this directory. B. The files from the directory are copied to the home directory of the new user when starting the system. C. The files from the directory are copied to the home directory of a new user when the account is created. D. The directory contains a default set of configuration files used by the useradd command. E. The directory contains the global settings for the Linux system.",C D,Dual
52,What is true about links in a Linux file system?,"A. A symbolic link can only point to a file and not to a directory. B. A hard link can only point to a directory and never to a file. C. When the target of the symbolic link is moved, the link is automatically updated. D. A symbolic link can point to a file on another file system. E. Only the root user can create hard links.",D,
53,Which files are the source of the information in the following output? (Choose two.) uid=1000 (bob) gid=1000 (bob) groups=1000 (bob) 10 (wheel) 150 (wireshark) 989 (docker) 1001 (libvirt),"A. /etc/id B. /etc/passwd C. /etc/group D. /home/index E. /var/db/users",B C,Dual
54,Which of the following tasks can the command passwd accomplish? (Choose two.),"A. Change a user's username. B. Change a user's password. C. Create a new user account. D. Create a new user group. E. Lock a user account.",B E,Dual
55,What is true about the su command?,A. It is the default shell of the root account. B. It can only be used by the user root. C. It runs a shell or command as another user. D. It changes the name of the main administrator account. E. It locks the root account in specific time frames.,C,
56,What parameter of ls prints a recursive listing of a directory's content? (Specify ONLY the option name without any values or parameters.),"Fill the blank.",ls -R,Blank
57,Most commands on Linux can display information on their usage. How can this information typically be displayed?,"A. By running the command with the option /? or /??. B. By running the command with the option ?! or ?=!. C. By running the command with the option /doc or /documentation. D. By running the command with the option -h or --help. E. By running the command with the option -m or --manpage.",D,
58,Which of the following commands shows the absolute path to the current working directory?,A. who B. cd .. C. pwd D. ls -l E. cd ~/home,C,
59,Which of the following commands output the content of the file Texts 2.txt? (Choose two.),"A. cat 'Texts 2.txt' B. cat -- Texts 2.txt C. cat |Texts 2.txt| D. cat 'Texts\ 2.txt' E. cat Texts\ 2.txt",A E,Dual
60,Which command displays file names only and no additional information?,A. ls -a B. ls -lh C. ls -l D. ls -alh E. ls -nl,A,
61,What is the purpose of the PATH environment variable?,A. It allows the execution of commands without the need to know the location of the executable. B. It increases security by preventing commands from running in certain locations. C. It specifies the location of a user's home directory. D. It indicates the location of the default shell to be used when a user logs in. E. It contains the absolute path to the current directory.,A,
62,Which of the following commands sets the variable USERNAME to the value bob?,A. set USERNAME bob B. $USERNAME==bob C. var USERNAME=bob D. USERNAME<=bob E. USERNAME=bob,E,
63,What command displays manual pages? (Specify ONLY the command without any path or parameters.),"Fill the blank.",man,Blank
64,Which command copies the contents of the directory /etc/ including all sub-directories to /root/?,"A. copy /etc /root B. cp -r /etc/* /root C. cp -v /etc/* /root D. rcp /etc/* /root E. cp -R /etc/*.* /root",B,
65,Which of the following commands puts the lines of the file data.csv into alphabetical order?,A. a..z data.csv B. sort data.csv C. abc data.csv D. wc -s data.csv E. grep --sort data.csv,B,
66,Which of the following examples shows the general structure of a for loop in a shell script?,A. for *.txt as file => echo $file B. for *.txt ( echo $i ) C. for file in *.txt do echo $i done D. for ls *.txt exec {} \; E. foreach @{file} { echo $i },C,
67,Which operator in a regular expression matches the preceding character either zero or one time?,A. ? B. * C. + D. % E. $,A,
68,The file script.sh in the current directory contains the following content: #!/bin/bash echo $MYVAR The following commands are used to execute this script : MYVAR=value - ./script.sh The result is an empty line instead of the content of the variable MYVAR. How should MYVAR be set in order to make script.sh display the content of MYVAR?,A. !MYVAR=value B. env MYVAR=value C. MYVAR=value D. $MYVAR=value E. export MYVAR=value,E,
69,What is the return value of a shell script after successful execution?,A. 1 B. 0 C. -1 D. -255 E. 255,B,
70,Which of the following commands creates the ZIP archive poems.zip containing all files in the current directory whose names end in .txt?,A. zip *.txt > poems.zip B. zcat *.txt poems.zip C. zip poems.zip *.txt D. zip cfz poems.zip *.txt E. cat *.txt | zip poems.zip,C,
71,Which of the following statements are true regarding a typical shell script? (Choose two.),"A. It has the executable permission bit set. B. It starts with the two character sequence #!. C. It is located in /usr/local/scripts/. D. It is located in /etc/bash/scripts/. E. It is compiled into a binary file compatible with the current machine architecture.",A B,Dual
72,Which of the following commands extracts the contents of the compressed archive file1.tar.gz ?,A. tar -czf file1.tar.gz B. ztar file1.tar.gz C. tar -xzf file1.tar.gz D. tar --extract file1.tar.gz E. detar file1.tar.gz,C,
73,Which of the following commands finds all lines in the file operating-systems.txt which contain the term linux regardless of the case?,A. igrep linux operating-systems.txt B. less -i linux operating-systems.txt C. grep -i linux operating-systems.txt D. cut linux operating-systems.txt E. cut [Ll][Ii][Nn][Uu][Xx] operating-systems.txt,C,
74,Which one of the following statements concerning Linux passwords is true?,A. All passwords can be decrypted using the system administrator's master password. B. Passwords may never start with a non-letter. C. Users cannot change their password once it has been set. D. Passwords are only stored in hashed form. E. Passwords may be at most six characters long.,D,
75,Which of the following programs are web servers? (Choose two.),A. Apache HTTPD B. Postfix C. Curl D. Dovecot E. NGINX,A E,Dual
76,Which of the following Linux Distributions is derived from Red Hat Enterprise Linux?,A. Raspbian B. openSUSE C. Debian D. Ubuntu E. CentOS,E,
77,Which of the following statements is true about Free Software?,A. It is developed by volunteers only. B. It may be modified by anyone using it. C. It must always be available free of charge. D. It only runs on Linux. E. It is only distributed as a compiled binary.,B,
78,How is a new Linux computing instance provisioned in an IaaS cloud?,"A. The standard Linux installer has to be run through a remote console. B. After buying a Linux distribution, its vendor delivers it to a cloud instance. C. The installation has to be prepared in a local virtual machine which is then copied to the cloud. D. The cloud hosting organization provides a set of pre-prepared images of popular Linux distributions. E. A provider-specific configuration file describing the desired installation is uploaded to the cloud provider.",D,
79,What are the differences between a private web browser window and a regular web browser window? (Choose three.),"A. Private web browser windows do not allow printing or storing websites. B. Private web browser windows do not store cookies persistently. C. Private web browser windows do not support logins into websites. D. Private web browser windows do not keep records in the browser history. E. Private web browser windows do not send regular stored cookies.",B D E,Triple
80,What is the preferred source for the installation of new applications in a Linux based operating system?,A. The vendor's version management system B. A CD-ROM disk C. The distribution's package repository D. The vendor's website E. A retail store,C,
